"Date Time","Date Time(RAW)","Available Memory 1 (Processor)","Available Memory 1 (Processor)(RAW)","Percent Available Memory 1 (Processor)","Percent Available Memory 1 (Processor)(RAW)","Available Memory 2 (reserve Processor)","Available Memory 2 (reserve Processor)(RAW)","Percent Available Memory 2 (reserve Processor)","Percent Available Memory 2 (reserve Processor)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"12/12/2025 12:00:00 AM","46003.7083333333","7,421 MB","7781932455.0278","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/13/2025 12:00:00 AM","46004.7083333333","7,421 MB","7781932455.8611","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/14/2025 12:00:00 AM","46005.7083333333","7,421 MB","7781932462.8889","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/15/2025 12:00:00 AM","46006.7083333333","7,421 MB","7781935637.2500","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/16/2025 12:00:00 AM","46007.7083333333","7,421 MB","7781932700.3333","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/17/2025 12:00:00 AM","46008.7083333333","7,421 MB","7781932784.8333","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/18/2025 12:00:00 AM","46009.7083333333","7,421 MB","7781932789.8889","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/19/2025 12:00:00 AM","46010.7083333333","7,421 MB","7781932345.8333","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/20/2025 12:00:00 AM","46011.7083333333","7,421 MB","7781930594.3056","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/21/2025 12:00:00 AM","46012.7083333333","7,421 MB","7781933783.4444","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/22/2025 12:00:00 AM","46013.7083333333","7,421 MB","7781930530.3889","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/23/2025 12:00:00 AM","46014.7083333333","7,421 MB","7781930594.5000","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/24/2025 12:00:00 AM","46015.7083333333","7,421 MB","7781930605.1944","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/25/2025 12:00:00 AM","46016.7083333333","7,421 MB","7781930601.2222","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/26/2025 12:00:00 AM","46017.7083333333","7,421 MB","7781930600.8889","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/27/2025 12:00:00 AM","46018.7083333333","7,421 MB","7781933778.1667","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/28/2025 12:00:00 AM","46019.7083333333","7,421 MB","7781930624.6389","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"12/29/2025 12:00:00 AM","46020.7083333333","7,421 MB","7781930607.9444","97 %","96.9007","0.10 MB","102316.0000",">99 %","99.9141","0 %","0.0000","100 %","0000010000"
"Averages (of 29 values)",,"7,421 MB",,"97 %",,"0.10 MB",,">99 %",,"0 %",,"100 %",
